FECHA;SEMANA_EPIDEMIOLOGICA;GRUPO_ETARIO;INF_CASOS;MEDIA;SUP_CASOS;CASOS_2025
17/05/2025;21;Niños menores de 5 años;12.340;14.518;16.695;11459
17/05/2025;21;Población General;50.299;54.844;59.389;50263
24/05/2025;22;Mayores de 60 años;4.873;5.433;5.992;6661
24/05/2025;22;Niños menores de 1 año;3.478;3.698;3.918;2927
24/05/2025;22;Población General;44.482;51.003;57.524;47977
24/05/2025;22;Niños menores de 5 años;12.091;13.468;14.845;10898
31/05/2025;23;Mayores de 60 años;5.371;5.621;5.870;6237
31/05/2025;23;Niños menores de 5 años;10.871;13.353;15.835;10227
31/05/2025;23;Niños menores de 1 año;2.884;3.685;4.487;3273
31/05/2025;23;Población General;46.483;51.859;57.235;45106
7/06/2025;24;Población General;43.085;50.860;58.634;49574
7/06/2025;24;Mayores de 60 años;5.055;5.765;6.475;7098
7/06/2025;24;Niños menores de 5 años;9.757;12.513;15.269;11148
7/06/2025;24;Niños menores de 1 año;2.876;3.552;4.229;3517
14/06/2025;25;Mayores de 60 años;4.740;5.707;6.674;
14/06/2025;25;Niños menores de 5 años;9.254;11.320;13.385;
14/06/2025;25;Población General;37.213;47.176;57.139;
14/06/2025;25;Niños menores de 1 año;2.824;3.367;3.909;
21/06/2025;26;Mayores de 60 años;4.391;5.427;6.463;
21/06/2025;26;Niños menores de 1 año;2.868;3.078;3.288;
21/06/2025;26;Niños menores de 5 años;8.344;9.284;10.224;
21/06/2025;26;Población General;30.076;39.371;48.665;
28/06/2025;27;Población General;29.254;39.251;49.249;
28/06/2025;27;Niños menores de 1 año;2.398;2.848;3.297;
28/06/2025;27;Mayores de 60 años;4.437;5.712;6.987;
28/06/2025;27;Niños menores de 5 años;6.668;8.335;10.003;
5/07/2025;28;Mayores de 60 años;4.146;5.586;7.025;
5/07/2025;28;Niños menores de 5 años;7.108;8.168;9.228;
5/07/2025;28;Niños menores de 1 año;2.334;2.660;2.986;
5/07/2025;28;Población General;31.113;40.313;49.514;
14/07/2025;29;Niños menores de 1 año;1.945;2.377;2.809;
14/07/2025;29;Niños menores de 5 años;6.400;7.820;9.240;
14/07/2025;29;Población General;26.783;36.054;45.326;
14/07/2025;29;Mayores de 60 años;3.350;4.795;6.240;
19/07/2025;30;Niños menores de 5 años;7.663;9.109;10.556;
19/07/2025;30;Niños menores de 1 año;2.358;2.613;2.868;
19/07/2025;30;Población General;34.707;40.864;47.022;
19/07/2025;30;Mayores de 60 años;3.679;4.898;6.118;
26/07/2025;31;Niños menores de 5 años;6.402;8.465;10.529;
26/07/2025;31;Mayores de 60 años;3.426;4.454;5.481;
26/07/2025;31;Niños menores de 1 año;1.982;2.366;2.751;
26/07/2025;31;Población General;32.289;38.880;45.470;
2/08/2025;32;Niños menores de 5 años;6.731;8.387;10.042;
2/08/2025;32;Población General;33.532;36.386;39.240;
2/08/2025;32;Mayores de 60 años;3.545;4.227;4.910;
2/08/2025;32;Niños menores de 1 año;1.887;2.305;2.722;
9/08/2025;33;Niños menores de 1 año;2.040;2.184;2.329;
9/08/2025;33;Mayores de 60 años;3.196;3.780;4.364;
9/08/2025;33;Población General;30.186;33.947;37.707;
9/08/2025;33;Niños menores de 5 años;6.400;7.832;9.264;
16/08/2025;34;Niños menores de 5 años;5.941;8.249;10.557;
16/08/2025;34;Mayores de 60 años;3.602;3.969;4.337;
16/08/2025;34;Población General;30.101;35.992;41.884;
16/08/2025;34;Niños menores de 1 año;1.810;2.235;2.661;
23/08/2025;35;Población General;30.470;35.860;41.250;
23/08/2025;35;Niños menores de 1 año;1.799;2.240;2.682;
23/08/2025;35;Niños menores de 5 años;5.949;8.217;10.486;
23/08/2025;35;Mayores de 60 años;3.239;3.816;4.394;
30/08/2025;36;Niños menores de 5 años;5.778;8.460;11.142;
30/08/2025;36;Población General;29.837;37.024;44.211;
30/08/2025;36;Mayores de 60 años;3.263;3.828;4.393;
30/08/2025;36;Niños menores de 1 año;1.643;2.211;2.780;
6/09/2025;37;Niños menores de 1 año;1.595;2.160;2.726;
6/09/2025;37;Niños menores de 5 años;5.524;8.436;11.348;
6/09/2025;37;Mayores de 60 años;3.486;3.839;4.192;
6/09/2025;37;Población General;29.503;36.650;43.797;
13/09/2025;38;Mayores de 60 años;3.369;3.696;4.024;
13/09/2025;38;Población General;30.312;36.829;43.346;
13/09/2025;38;Niños menores de 5 años;5.881;8.400;10.920;
13/09/2025;38;Niños menores de 1 año;1.687;2.166;2.645;
20/09/2025;39;Población General;31.425;38.005;44.584;
20/09/2025;39;Mayores de 60 años;3.312;3.739;4.166;
20/09/2025;39;Niños menores de 1 año;1.780;2.272;2.763;
20/09/2025;39;Niños menores de 5 años;5.873;8.630;11.388;
27/09/2025;40;Niños menores de 5 años;5.492;8.223;10.953;
27/09/2025;40;Mayores de 60 años;3.476;3.810;4.143;
27/09/2025;40;Población General;31.462;37.345;43.228;
27/09/2025;40;Niños menores de 1 año;1.716;2.165;2.615;
4/10/2025;41;Niños menores de 1 año;1.679;2.081;2.483;
4/10/2025;41;Mayores de 60 años;3.250;3.443;3.636;
4/10/2025;41;Niños menores de 5 años;5.221;7.496;9.771;
4/10/2025;41;Población General;27.955;32.667;37.379;
11/10/2025;42;Población General;27.486;32.991;38.496;
11/10/2025;42;Mayores de 60 años;3.264;3.821;4.379;
11/10/2025;42;Niños menores de 5 años;4.626;7.260;9.894;
11/10/2025;42;Niños menores de 1 año;1.584;2.281;2.978;
18/10/2025;43;Población General;28.902;33.977;39.052;
18/10/2025;43;Niños menores de 1 año;1.627;2.139;2.651;
18/10/2025;43;Niños menores de 5 años;5.049;7.130;9.211;
18/10/2025;43;Mayores de 60 años;3.364;3.851;4.338;
25/10/2025;44;Niños menores de 1 año;1.583;1.999;2.414;
25/10/2025;44;Niños menores de 5 años;4.854;6.916;8.978;
25/10/2025;44;Mayores de 60 años;3.310;3.499;3.689;
25/10/2025;44;Población General;27.261;32.366;37.472;
1/11/2025;45;Mayores de 60 años;3.258;3.506;3.754;
1/11/2025;45;Niños menores de 5 años;5.316;7.812;10.307;
1/11/2025;45;Población General;27.755;33.295;38.836;
1/11/2025;45;Niños menores de 1 año;1.410;2.359;3.308;
8/11/2025;46;Niños menores de 5 años;5.525;8.490;11.456;
8/11/2025;46;Mayores de 60 años;3.593;4.221;4.848;
8/11/2025;46;Niños menores de 1 año;1.872;2.595;3.319;
8/11/2025;46;Población General;30.377;37.544;44.711;
15/11/2025;47;Niños menores de 1 año;2.023;2.516;3.010;
15/11/2025;47;Mayores de 60 años;3.838;4.573;5.309;
15/11/2025;47;Niños menores de 5 años;6.288;8.346;10.405;
15/11/2025;47;Población General;32.399;38.604;44.810;
22/11/2025;48;Niños menores de 5 años;6.535;8.436;10.337;
22/11/2025;48;Mayores de 60 años;3.919;4.833;5.748;
22/11/2025;48;Niños menores de 1 año;2.094;2.603;3.112;
22/11/2025;48;Población General;30.916;38.051;45.186;
29/11/2025;49;Mayores de 60 años;3.771;4.909;6.047;
29/11/2025;49;Niños menores de 1 año;1.945;2.461;2.977;
29/11/2025;49;Niños menores de 5 años;5.817;7.392;8.967;
29/11/2025;49;Población General;29.797;35.854;41.911;
6/12/2025;50;Niños menores de 1 año;1.913;2.523;3.132;
6/12/2025;50;Población General;30.321;36.759;43.198;
6/12/2025;50;Niños menores de 5 años;5.632;7.121;8.610;
6/12/2025;50;Mayores de 60 años;3.961;5.417;6.874;
13/12/2025;51;Población General;27.878;32.561;37.244;
13/12/2025;51;Niños menores de 1 año;1.745;2.258;2.771;
13/12/2025;51;Niños menores de 5 años;4.733;6.036;7.340;
13/12/2025;51;Mayores de 60 años;4.198;5.098;5.998;
20/12/2025;52;Mayores de 60 años;4.140;5.117;6.094;
20/12/2025;52;Niños menores de 1 año;1.436;1.988;2.541;
20/12/2025;52;Niños menores de 5 años;3.557;4.911;6.264;
20/12/2025;52;Población General;23.226;27.789;32.352;
